;title;price;post link;image link
0;Apple iPhone 14 Pro Max 256gb Entrega Inmediata, Version Usa;1.700;https://articulo.mercadolibre.com.ve/MLV-743167620-apple-iphone-14-pro-max-256gb-entrega-inmediata-version-usa-_JM#position=1&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_602070-MLV54727375713_032023-V.jpg
1;Celular iPhone 14 Pro, Nuevo, 128gb, Sim Física, Liberado;1.160;https://articulo.mercadolibre.com.ve/MLV-729622817-celular-iphone-14-pro-nuevo-128gb-sim-fisica-liberado-_JM#position=2&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_676762-MLV69805095145_062023-V.jpg
2;iPhone 14 Forros Marca Shein;5;https://articulo.mercadolibre.com.ve/MLV-760852380-iphone-14-forros-marca-shein-_JM#position=3&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_603649-MLV70377632092_072023-V.jpg
3;Telefono Apple iPhone 14 Plus 128 Gb ;1.080;https://articulo.mercadolibre.com.ve/MLV-727726270-telefono-apple-iphone-14-plus-128-gb-_JM#position=4&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_887922-MLV52179530163_102022-V.jpg
4;iPhone 14 Pro Max (1 Sim + 1 Esim) 128gb Nuevo Envio Gratis;1.629;https://articulo.mercadolibre.com.ve/MLV-731981642-iphone-14-pro-max-1-sim-1-esim-128gb-nuevo-envio-gratis-_JM#position=5&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_785817-MLV52913913199_122022-V.jpg
5;Iphohe 14 Pro  128gb (dual Sim Chip Fisico) 4 Colores;1.400;https://articulo.mercadolibre.com.ve/MLV-758852352-iphohe-14-pro-128gb-dual-sim-chip-fisico-4-colores-_JM#position=6&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_741734-MLV70115210469_062023-V.jpg
6;Celular Apple iPhone 14 (1 Sim + 1 Esim) 128gb;865;https://articulo.mercadolibre.com.ve/MLV-762087976-celular-apple-iphone-14-1-sim-1-esim-128gb-_JM#position=7&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_893868-MLV70534749684_072023-V.jpg
7;Celular Apple iPhone 14 Plus (esim) Blue ;1.162;https://articulo.mercadolibre.com.ve/MLV-744313875-celular-apple-iphone-14-plus-esim-blue-_JM#position=8&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_947246-MLV70230104890_072023-V.jpg
8;Apple iPhone 14 Pro Max 256gb Esim+sim Gold;1.550;https://articulo.mercadolibre.com.ve/MLV-771235722-apple-iphone-14-pro-max-256gb-esimsim-gold-_JM#position=9&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_652599-MLV71963350006_092023-V.jpg
9;Celular Apple iPhone 14 Pro (1 Sim + 1 Esim) 1tb ;1.850;https://articulo.mercadolibre.com.ve/MLV-755159614-celular-apple-iphone-14-pro-1-sim-1-esim-1tb-_JM#position=10&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_900236-MLV69943264137_062023-V.jpg
10;iPhone 14, 128gb Amazon Renew Premiun ;850;https://articulo.mercadolibre.com.ve/MLV-739499604-iphone-14-128gb-amazon-renew-premiun-_JM#position=11&search_layout=stack&type=item&tracking_id=2bb063f8-47dc-4670-b791-06e740217259;https://http2.mlstatic.com/D_NQ_NP_974302-MLV54082557762_022023-V.jpg
